Category,Name,Price,Image URL,Link
Storage,,549,https://www.ikea.com/us/en/images/products/kivik-1-seat-sleeper-sofa-tibbleby-beige-gray__1130878_pe877951_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/kivik-1-seat-sleeper-sofa-tibbleby-beige-gray-s29470236/
Storage,,249,https://www.ikea.com/us/en/images/products/ekenaeset-armchair-kilanda-light-beige__1109687_pe870153_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/ekenaeset-armchair-kilanda-light-beige-30533493/
Storage,,249,https://www.ikea.com/us/en/images/products/sotenaes-armchair-hakebo-yellow__1262234_pe926999_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/sotenaes-armchair-hakebo-yellow-90570821/
Storage,,349,https://www.ikea.com/us/en/images/products/strandmon-wing-chair-djuparp-dark-green__0531313_pe647261_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/strandmon-wing-chair-djuparp-dark-green-90359848/
Storage,,479,https://www.ikea.com/us/en/images/products/uppland-armchair-blekinge-white__0818464_pe774419_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/uppland-armchair-blekinge-white-s89384108/
Storage,,299,https://www.ikea.com/us/en/images/products/strandmon-wing-chair-skiftebo-yellow__0325450_pe517970_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/strandmon-wing-chair-skiftebo-yellow-20361897/
Storage,,29,https://www.ikea.com/us/en/images/products/smaskrake-multi-functional-child-chair-table-green__1333199_pe946400_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/smaskrake-multi-functional-child-chair-table-green-30569750/
Storage,,99,https://www.ikea.com/us/en/images/products/ikea-ps-loemsk-swivel-chair-white-red__0726690_pe735385_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/ikea-ps-loemsk-swivel-chair-white-red-10407136/
Storage,,149,https://www.ikea.com/us/en/images/products/poaeng-armchair-birch-veneer-skiftebo-dark-gray__0937014_pe793536_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/poaeng-armchair-birch-veneer-skiftebo-dark-gray-s79388461/
Storage,,219,https://www.ikea.com/us/en/images/products/poaeng-armchair-birch-veneer-gunnared-light-green__1192124_pe900869_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/poaeng-armchair-birch-veneer-gunnared-light-green-s39501906/
Lighting,,69,https://www.ikea.com/us/en/images/products/billy-bookcase-white__0625599_pe692385_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/billy-bookcase-white-00263850/
Lighting,,79,https://www.ikea.com/us/en/images/products/kallax-shelf-unit-white__0644757_pe702939_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/
Lighting,,90,https://www.ikea.com/us/en/images/products/alex-drawer-unit-white__0977775_pe813763_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/alex-drawer-unit-white-00473546/
Lighting,,249,https://www.ikea.com/us/en/images/products/storklinta-6-drawer-dresser-white-anchor-unlock-function__1283583_pe932540_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/storklinta-6-drawer-dresser-white-anchor-unlock-function-60561248/
Lighting,,39,https://www.ikea.com/us/en/images/products/billy-bookcase-white__0644260_pe702536_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/billy-bookcase-white-50263838/
Lighting,,219,https://www.ikea.com/us/en/images/products/lagkapten-alex-desk-white__1022432_pe832720_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/lagkapten-alex-desk-white-s99431982/
Lighting,,399,https://www.ikea.com/us/en/images/products/hemnes-8-drawer-dresser-black-brown__0627349_pe693302_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/hemnes-8-drawer-dresser-black-brown-30576190/
Lighting,,99,https://www.ikea.com/us/en/images/products/lack-wall-shelf-unit-white__0246565_pe385541_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/lack-wall-shelf-unit-white-60282186/
Lighting,"15% off all bedframes, discount at checkout
Offer valid from Feb 24, 2025 until Mar 17, 2025
Exclusive IKEA Family offer",399,https://www.ikea.com/us/en/images/products/hemnes-daybed-frame-with-3-drawers-white__1180454_pe896328_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/hemnes-daybed-frame-with-3-drawers-white-30349329/
Lighting,,199,https://www.ikea.com/us/en/images/products/brimnes-wardrobe-with-3-doors-white__1268958_pe928897_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/brimnes-wardrobe-with-3-doors-white-90574800/
Lighting,,69,https://www.ikea.com/us/en/images/products/luktvicker-comforter-set-green__1297976_pe935966_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/luktvicker-comforter-set-green-50577056/
Lighting,,99,https://www.ikea.com/us/en/images/products/rast-6-drawer-dresser-pine__1291249_pe934858_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/rast-6-drawer-dresser-pine-00582164/
